Description,Type
"Janet called for a Password reset, customer can now log in, Closing Call.",Lockouts
"Netcool event for High Peak DC: [STAL-SNOW]


Description: [8/5/2017 7:33:4] -  NOTICE: Windows Service SnowActiveDirectoryService1 (Snow Active Directory Discovery (SnowActiveDirectoryService1)) is in a STOPPED status where previously it was in a RUNNING status.
",Others
"R Drive Missing.

",Others
"Phil called for a Password reset, customer can now log in,Closing Call.",Lockouts
"Customer: High Peak DC

Node: ICT-GIS-1A

Summary: NOTICE: Windows Service vmictimesync (Hyper-V Time Synchronization service) is in a STOPPED status where previously it was in a RUNNING status. 

",Others
"Netcool event for High Peak DC: [ICT-WSUS-1]


Description: [5/5/2017 19:54:4] -  NOTICE: Windows Service WsusService (Update Services) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
Urgently need large Powerpoint presentation copying to USB stick.,Others
"Monitor Issues

",Others
"Restore deleted files 

Hi,
I’ve just deleted a file in error, Former Tenant Soft Approach, I deleted the folder from Excel but it has disappeared from word?

Thanks
Andrea

Andrea Yates
High Peak Borough Council
Income Technical Officer
P: 0345 129 8075 ext 3744
M: 07787736192
E: andrea.yates@highpeak.gov.uk<mailto:andrea.yates@highpeak.gov.uk>



________________________________
",Others
"Email job Queues

It appears that the email job queues have stopped again.

Please can they be restarted.

Thanks

Jo

Mrs J Duxbury
Benefit Techinical Officer
High Peak Borough Council & Staffordshire Moorlands District Council
PO Box 136
Buxton
SK17 6EL

Tel 01298 28400 ext 4533


________________________________
",Others
"Word on iLap - URGENT if possible.

Good morning

I do not have word on my iLap system.  I think this could be the Macro’s again?    ",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"FW: iCritical Spam Report

Hello Northgate Service Desk,

Please can the e-mail below be checked.

Kind Regards,

Jane Cooper BSc (hons) MCIEH
Environmental Health Officer

Tel: 0345 129 7777
Mob: 07814 969 967
E-mail: jane.cooper@highpeak.gov.uk<mailto:jane.cooper@highpeak.gov.uk>

Environmental Health
High Peak Borough Council
Buxton Town Hall
Buxton
Derbyshire
SK17 6EL

My normal working hours are Monday to Friday. If you require an urgent response please contact the Cal",Others
Customers account was locked. Unlocked account and customer can now access fine,Lockouts
"ZIP Facility

Dear IT

I seem to have lost the facility to Zip files and I use this on a daily basis.  I have tried getting on to different servers, but it seems to be the same on all of them.  Could this please be looked in to.

Thanks
Jayne
Jayne Owen
Building Control Technician
High Peak Borough Council & Staffordshire Moorlands District Council
Town Hall
Market Place
Buxton
Derbyshire
SK17 6EL
Tel: 0345 129 0210 Extn: 5740
Fax: 01298 27639
Email: jayneo@highpeak.gov.uk

",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"URGENT - Self Serve PC's

",Lockouts
"Problems connecting to OHMS/Optitime

",Others
Customers account was locked. Unlocked account and customer can now access fine.,Lockouts
"Password reset, customer can now log in

Closing Call",Lockouts
"We are not able to pass traffic via the Websense appliance to port 88 for Opti-Time job processing.  Please can access via this port be allowed for HTTP & HTTPS traffic?
",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Bin Form

Hi All

We seem to have an issue with the High Peak New Bin request form.

When someone is selecting to order three bins it doesn’t like processing the payment of £90 – the forms are coming through but there isn’t any payment as Paris won’t let them in put their details. It is displaying an error message and submitting the form but not allowing the payments section to be completed.

Paul – can you have a look at this from Paris and see if there is any reason why this would have",Others
"Tablet

Hello
I am not able to log onto my tablet – it doesn’t  like the password. I am using the same one that I log into the network. I can’t remember my previous password to try that.  Could I drop it into the team in Leek for them to reset for me please?

Thank you

Jane

Jane Curley (Mrs)
Senior Planning Officer
01538 395400 ext 4124
Mobile 07794 768397


________________________________
",Lockouts
"FW: davies, confirmation order 1OW0222

???? not sure about this one

From: Marrison, Christine
Sent: 04 May 2017 10:00
To: Botham, Carolyn
Subject: FW: davies, confirmation order 1OW0222

???

From: clients@somebodycaresbaltimore.com<mailto:clients@somebodycaresbaltimore.com> [mailto:clients@somebodycaresbaltimore.com]
Sent: 04 May 2017 04:15
To: Marrison, Christine
Subject: davies, confirmation order 1OW0222



This message is from a trusted sender.









Hello, ",Others
"Customer services

Hello

Customer services apparently cant get access to the internal web and they will need the information for the election today.  I have tried mine but mine is fine.

Can you give Victoria Johnson  5420  a call please.

Thanks
Mandy

Mandy Pattinson
Senior Elections Officer
High Peak Borough Council and Staffordshire Moorlands District Council

M: 07976753664
T: 01538 395500 or internal 4062
E: mandy.pattinson@highpeak.gov.uk

www.highpeak.gov.uk<http://ww",Others
"reference number 3185241

Hi

J:\E_Health\Flare\Private Water Supplies\SMDC Private Water

folder name is hayes cottage

Please restore the documents thanks

Jenny Weston | Technical Officer - Pollution | Staffordshire Moorlands District Council & High Peak Borough Council | • 01538 395400 ext 4402 Normal working days Wednesday, Thursday and Friday.


________________________________
",Others
"FW: Dukes - High Peak Borough Council Sundry Remittances - 20.04.2017

Hi.

I receive the attached zip files every month from Dukes Bailiffs & have always been able to open them no problem but for some reason I am no longer able to.  Could you look into this for me please.  I understand Louise Middleton has had a similar problem.

Thanks.

Caroline

Caroline Wilkinson
Income Officer Sundry Debts
Staffordshire Moorlands District Council
and High Peak Borough Council
Internal extensi",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Netcool event for High Peak DC: [STAL-ORACLE-1]


Description: [3/5/2017 9:37:59] -  NOTICE: Windows Service HP StorageWorks VSS Hardware Provider (HP StorageWorks VSS Hardware Provider) is in a STOPPED status where previously it was in a RUNNING status.

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"HPBC-WAP-ACCESS

The WAP Access connection in the OD&T office is very weak, I am wondering if the nearest box needs restarting but not sure where it is sorry.

Thanks

Lindsay


Lindsay Derbyshire
Transformation Business Partner | OD & Transformation
High Peak Borough Council and Staffordshire Moorlands District Council

T: 01298 28400 ext 5460 or 01538 395400 ext 5460
M: 07976 753223
E: lindsay.derbyshire@highpeak.gov.uk<mailto:lindsay.derbyshire@highpeak.gov.uk>

www.highpeak.",Others
"Customers account was locked

Unlocked account and customer can now access fine",Lockouts
"Printer problems at Buxton - Chief Exec Office - Urgent

Could one of the Northgate on site team please contact me urgently, we do not seem to be able to print.

Thanks

Alison

Alison Fynney – Executive Assistant
Chief Executive’s Office
Staffordshire Moorlands District Council – DD 01538 395654
High Peak Borough Council – DD 01298 28406 (xt2015)
Email : alison.fynney@staffsmoorlands.gov.uk<mailto:alison.fynney@staffsmoorlands.gov.uk> or alison.fynney@highpeak.gov.uk<mailto:alison.f",Others
"Integra Core Processes Stopped.

",Others
"FW: PQD 73563214 Simcock, Amanda

Please see rogue email I have received.  (I have already mentioned these to Chris Cooke)

Kind regards.

Amanda

Amanda Simcock
Community Projects Assistant
Democratic and Community Services
High Peak Borough Council
Staffordshire Moorlands District Council

Tel:  External (01538) 395692  / Internal 4169
Email:  amanda.simcock@highpeak.gov.uk

-----Original Message-----
From: Smith, David [mailto:nasratmosa@ia.gov.iq]
Sent: 02 May 2017 14:55
",Others
"Locked out of mobile phone

I have locked myself out of my mobile phone. Please could someone unlock it for me urgently,

Regards

Moya

Moya Phillips

Planning Officer
High Peak Borough Council and Staffordshire Moorlands District Council

Telephone. 0345 129 7777 or 01298 28400 and ask for Extn. 4984
Telephone DD. 01538 395400 Extn. 4984
Mobile. 07875067274


________________________________
",Others
"S Drive

Hi

I have always had permissions to go into my service area risk assessments, update them which in turn updates the ones in the Health and Safety portfolio on the Intranet.

It would seem that they are only read only now.  Please can you contact me to resolve I will be at ext 4602

Thanks

Paul

Paul Farrell
Specialist Service Lead - Operational Services

High Peak Borough Council and
Staffordshire Moorlands District Council

Town Hall
Buxton
Derbyshire
SK17 6EL
",Others
"S Drive - Health and Safety Team

Hi

I have added an updated file ‘DSE Assessors 2017’ to the S drive ‘shortcut to the health and safety portfolio’ (these files link to our intranet page).
However the new updated file is not showing on the intranet, the old deleted file is still showing?

Please could you check this?

Thanks
Helen




[cid:image001.png@01D2C35C.6887E630]


Helen Ashworth
Health, Safety and Emergency Planning Assistant
Chief Executive’s Office
High Peak Boro",Others
"Netcool event for High Peak DC: [HPBC-ILAP-WEB]


Description: [2/5/2017 14:39:38] -  The CPU has been 95 percent busy for 259 Minutes (Alarm at 30+ Minutes)

Department: MS Server Team

This incident has been raised manually by the Service Desk via Netcool Monitoring

",Others
"Remote Desktop Error

",Others
"CRM Pop Ups

Hi All, I wish to report a problem with CRM system.  I do not appear to be receiving any pop ups sent via the CRM system when I am logged on in  back office / Call Centre.  However when I log onto CRM on reception I receive them

Can you look into this query for me.

Thanks
Sam



Samantha Vernon
Customer Advisor
High Peak Borough Council & Staffordshire Moorlands District Council

Tel. 03451297777
Email. Samantha.vernon@higpeak.gov.uk<mailto:Samantha.vernon@higpeak.",Others
